Makro,Endulzante SPLENDA en Polvo Caja 100 Sobres,SPLENDA,43.1,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/endulzante-splenda-en-polvo-caja-100-sobres/p,https://plazavea.vteximg.com.br/arquivos/ids/553621-300-300/78507.jpg?v=637426558057730000
Makro,Azucar Rubia PANTALEON Bolsa 50Kg,PANTALEON,126.0,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/azucar-rubia-pantaleon-bolsa-50kg/p,https://plazavea.vteximg.com.br/arquivos/ids/31843940-300-300/20506326.jpg?v=638899592163430000
Makro,Azúcar Blanca PICHICHI Bolsa 50Kg,PICHICHI,136.0,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/azucar-blanca-pichichi-bolsa-50kg/p,https://plazavea.vteximg.com.br/arquivos/ids/31843938-300-300/20506343.jpg?v=638899591628770000
Makro,Endulzante ARO Stevia Dp X200un,ARO,32.29,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/endulzante-aro-stevia-dp-x200un/p,https://plazavea.vteximg.com.br/arquivos/ids/30215387-300-300/20211067.jpg?v=638679060511770000
Makro,Endulzante con Sucralosa ARO Doypack 200un,ARO,31.19,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/endulzante-con-sucralosa-aro-doypack-200un/p,https://plazavea.vteximg.com.br/arquivos/ids/30215415-300-300/20215303.jpg?v=638679060775330000
Makro,Endulzante a Base de Yacón ENDULZA Pote 130g,ENDULZA,20.6,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/endulzante-a-base-de-yacon-endulza-pote-130g/p,https://plazavea.vteximg.com.br/arquivos/ids/20508741-300-300/20325164.jpg?v=638025175909230000
Makro,Endulzante a Base de Yacón ENDULZA Caja 100un,ENDULZA,22.3,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/endulzante-a-base-de-yacon-endulza-caja-100un/p,https://plazavea.vteximg.com.br/arquivos/ids/20508740-300-300/20325165.jpg?v=638025175604230000
Makro,Panela EL GUARANGUITO Bolsa 500g,EL GUARANGUITO,11.4,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/panela-el-guaranguito-bolsa-500g-1/p,https://plazavea.vteximg.com.br/arquivos/ids/12955037-300-300/20280708.jpg?v=637914227151200000
Makro,Endulzante LA BOLIVIANA Frasco 50g Paquete 3un,LA BOLIVIANA,30.9,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/endulzante-la-boliviana-frasco-50g-paquete-3un/p,https://plazavea.vteximg.com.br/arquivos/ids/423218-300-300/20175650.jpg?v=637377099548900000
Makro,Endulzante SPLENDA en Polvo Caja 200 Sobres,SPLENDA,71.0,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/endulzante-splenda-en-polvo-caja-200-sobres/p,https://plazavea.vteximg.com.br/arquivos/ids/324348-300-300/96362.jpg?v=637252424771800000
Makro,Endulzante Líquido LA BOLIVIANA Paquete 3un,LA BOLIVIANA,53.8,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/endulzante-liquido-la-boliviana-paquete-3un/p,https://plazavea.vteximg.com.br/arquivos/ids/30215483-300-300/20213889.jpg?v=638679062210400000
Makro,Azúcar Blanca Refinada Industrial PARAMONGA x 50Kg,PARAMONGA,147.0,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/azucar-blanca-refinada-industrial-paramonga-x-50kg/p,https://plazavea.vteximg.com.br/arquivos/ids/30215531-300-300/20210942.jpg?v=638679062661970000
