tienda,nombre,marca,precio,stock,categoria,url,imagen
Plaza Vea,Arroz Glaseado TESORO DEL CAMPO Bolsa 1Kg,TESORO DEL CAMPO,7.8,Sí,Abarrotes / Arroz / Arroz Integral y Especiales,https://www.plazavea.com.pe/arroz-glaseado-tesoro-del-campo-bolsa-1kg/p,https://plazavea.vteximg.com.br/arquivos/ids/32808382-184-184/20565747.jpg?v=638973983126030000
Plaza Vea,Arroz Extra Gourmet  Añejo GRAN CHALAN Paquete 5Kg,GRAN CHALAN,25.5,Sí,Abarrotes / Arroz / Arroz Extra,https://www.plazavea.com.pe/arroz-extra-gourmetanejo-gran-chalan-paquete-5kg/p,https://plazavea.vteximg.com.br/arquivos/ids/30294814-184-184/20212908.jpg?v=638690999398030000
Plaza Vea,Arroz Japónico BARCIDDA Bolsa 500g,BARCIDDA,5.9,Sí,Abarrotes / Arroz / Arroz Integral y Especiales,https://www.plazavea.com.pe/arroz-japonico-barcidda-bolsa-500g/p,https://plazavea.vteximg.com.br/arquivos/ids/33045926-184-184/20567238.jpg?v=638993299488000000
Plaza Vea,Arroz Añejo PAISANA Bolsa 5Kg,PAISANA,23.9,Sí,Abarrotes / Arroz / Arroz Extra,https://www.plazavea.com.pe/arroz-anejo-paisana-bolsa-5kg/p,https://plazavea.vteximg.com.br/arquivos/ids/33045925-184-184/20567239.jpg?v=638993299479430000
Plaza Vea,Arroz INVERNI Rissoto Arborio Caja 1Kg,INVERNI,25.3,Sí,Abarrotes / Arroz / Arroz Integral y Especiales,https://www.plazavea.com.pe/arroz-inverni-rissoto-arborio-caja-1kg/p,https://plazavea.vteximg.com.br/arquivos/ids/29228330-184-184/20426232.jpg?v=638567716609300000
Plaza Vea,Arroz Carnaroli SCOTTI Funghi Porcin Bolsa 210g,SCOTTI,13.9,Sí,Abarrotes / Arroz / Arroz Integral y Especiales,https://www.plazavea.com.pe/arroz-carnaroli-scotti-funghi-porcin-bolsa-210g/p,https://plazavea.vteximg.com.br/arquivos/ids/1231224-184-184/20205771.jpg?v=637514573071730000
Plaza Vea,Arroz Arborio SCOTTI Caja 1Kg,SCOTTI,40.9,Sí,Abarrotes / Arroz / Arroz Integral y Especiales,https://www.plazavea.com.pe/arroz-arborio-scotti-caja-1kg/p,https://plazavea.vteximg.com.br/arquivos/ids/499332-184-184/20205775.jpg?v=637405771365230000
Plaza Vea,Pack 2u Arroz Sticky Calrose Perlado Grano Medio 1kg,GENÉRICO,42.0,Sí,Abarrotes / Arroz / Arroz Integral y Especiales,https://www.plazavea.com.pe/pack-2u-arroz-sticky-calrose-perlado-grano-medio-1kg-101551413/p,https://plazavea.vteximg.com.br/arquivos/ids/31798378-184-184/imageUrl_1.jpg?v=638888491765630000
Plaza Vea,Arroz Sticky Calrose Perlado Grano Medio 1kg,GENÉRICO,22.0,Sí,Abarrotes / Arroz / Arroz Integral y Especiales,https://www.plazavea.com.pe/arroz-sticky-calrose-perlado-grano-medio-1kg-101551395/p,https://plazavea.vteximg.com.br/arquivos/ids/31798285-184-184/imageUrl_1.jpg?v=638888491741370000
Plaza Vea,Arroz Sticky Glutinoso Grano Largo 1kg,GENÉRICO,22.0,Sí,Abarrotes / Arroz / Arroz Integral y Especiales,https://www.plazavea.com.pe/arroz-sticky-glutinoso-grano-largo-1kg-101551388/p,https://plazavea.vteximg.com.br/arquivos/ids/31798258-184-184/imageUrl_1.jpg?v=638888491735000000
Plaza Vea,Pack 2u Arroz Sticky Glutinoso Grano Largo 1kg,GENÉRICO,41.0,Sí,Abarrotes / Arroz / Arroz Integral y Especiales,https://www.plazavea.com.pe/pack-2u-arroz-sticky-glutinoso-grano-largo-1kg-101551381/p,https://plazavea.vteximg.com.br/arquivos/ids/31798223-184-184/imageUrl_1.jpg?v=638888491725200000
Plaza Vea,Pack Aceite Vegetal PRIMOR Clásico Botella 900ml x 2un,PRIMOR,16.4,Sí,Packs / Packs Abarrotes,https://www.plazavea.com.pe/pack-aceite-vegetal-primor-clasico-botella-900ml-x-2un/p,https://plazavea.vteximg.com.br/arquivos/ids/26739950-184-184/K0000007872.jpg?v=638225335410100000
Plaza Vea,Aceite Vegetal Premium PRIMOR Botella 900ml,PRIMOR,9.5,Sí,Abarrotes / Aceite / Aceite Vegetal,https://www.plazavea.com.pe/aceite-vegetal-premium-primor-botella-900ml/p,https://plazavea.vteximg.com.br/arquivos/ids/30632032-184-184/20281564.jpg?v=638811125811570000
Plaza Vea,Pack Aceite Vegetal PRIMOR Premium 900ml Botella 2un,PRIMOR,17.6,Sí,Packs / Packs Abarrotes,https://www.plazavea.com.pe/pack-aceite-vegetal-primor-premium-900ml-botella-2un/p,https://plazavea.vteximg.com.br/arquivos/ids/20368712-184-184/K0000004961.jpg?v=638023180424230000
Plaza Vea,Aceite Vegetal BELL'S Botella 900ml,BELL'S,5.6,Sí,Abarrotes / Aceite / Aceite Vegetal,https://www.plazavea.com.pe/aceite-vegetal-bells-botella-900ml/p,https://plazavea.vteximg.com.br/arquivos/ids/5002511-184-184/959308.jpg?v=637768218568500000
Plaza Vea,Aceite de Soya SAO Botella 900ml,SAO,6.5,Sí,Abarrotes / Aceite / Aceite Vegetal,https://www.plazavea.com.pe/aceite-de-soya-sao-botella-900ml/p,https://plazavea.vteximg.com.br/arquivos/ids/31462861-184-184/20281565.jpg?v=638852260524170000
Plaza Vea,Aceite Vegetal PRIMOR Clásico Botella 900ml,PRIMOR,8.5,Sí,Abarrotes / Aceite / Aceite Vegetal,https://www.plazavea.com.pe/aceite-vegetal-primor-clasico-botella-900ml/p,https://plazavea.vteximg.com.br/arquivos/ids/30632030-184-184/20281566.jpg?v=638758944609130000
Plaza Vea,Aceite Vegetal COCINERO Botella 900ml,COCINERO,7.4,Sí,Abarrotes / Aceite / Aceite Vegetal,https://www.plazavea.com.pe/aceite-vegetal-cocinero-botella-900ml/p,https://plazavea.vteximg.com.br/arquivos/ids/31274292-184-184/20281567.jpg?v=638815104681370000
Plaza Vea,Aceite Vegetal PRIMOR Clásico Botella 1.8L,PRIMOR,15.9,Sí,Abarrotes / Aceite / Aceite Vegetal,https://www.plazavea.com.pe/aceite-vegetal-primos-clasico-botella-1-8l/p,https://plazavea.vteximg.com.br/arquivos/ids/30632024-184-184/20235718.jpg?v=638758944329170000
Plaza Vea,Aceite de Oliva EL CORTE INGLÉS Extra Virgen Botella 1L,EL CORTE INGLÉS,29.9,Sí,Abarrotes / Aceite / Aceite de Oliva,https://www.plazavea.com.pe/aceite-de-oliva-el-corte-ingles-extra-virgen-botella-1l/p,https://plazavea.vteximg.com.br/arquivos/ids/30368008-184-184/20110260.jpg?v=638712288399470000
Plaza Vea,Aceite de Soya BELL'S Botella 900ml,BELL'S,5.69,Sí,Abarrotes / Aceite / Aceite Vegetal,https://www.plazavea.com.pe/aceite-de-soya-bells-botella-900ml/p,https://plazavea.vteximg.com.br/arquivos/ids/5002512-184-184/21592.jpg?v=637768218597430000
Plaza Vea,Aceite de Girasol BELL'S SELECCIÓN Botella 900ml,BELL'S SELECCIÓN,7.5,Sí,"Abarrotes / Aceite / Aceite de Maíz, Girasol y Canola",https://www.plazavea.com.pe/aceite-girasol-bells-seleccion-botella-900ml/p,https://plazavea.vteximg.com.br/arquivos/ids/28217521-184-184/20326400.jpg?v=638339709772070000
Plaza Vea,Aceite de Oliva Extra Virgen BELL'S Botella 500ml,BELL'S,20.9,Sí,Abarrotes / Aceite / Aceite de Oliva,https://www.plazavea.com.pe/aceite-de-oliva-extra-virgen-bells-botella-500ml/p,https://plazavea.vteximg.com.br/arquivos/ids/11497140-184-184/20207191.jpg?v=637885708826170000
